"size_iter","samples","cm","iter","acc","auc"
1,54,"l2","1",0.636363636363636,0.714285714285714
1,54,"l1","1",0.636363636363636,0.5
1,54,"svmsig","1",0.727272727272727,0.678571428571429
1,54,"svmrad","1",0.727272727272727,0.678571428571429
1,54,"rf","1",0.727272727272727,0.714285714285714
1,54,"l2","2",0.636363636363636,0.428571428571429
1,54,"l1","2",0.545454545454545,0.392857142857143
1,54,"svmsig","2",0.636363636363636,0.357142857142857
1,54,"svmrad","2",0.636363636363636,0.357142857142857
1,54,"rf","2",0.454545454545455,0.178571428571429
1,54,"l2","3",0.6,0.541666666666667
1,54,"l1","3",0.7,0.666666666666667
1,54,"svmsig","3",0.5,0.625
1,54,"svmrad","3",0.4,0.625
1,54,"rf","3",0.4,0.5
1,54,"l2","4",0.583333333333333,0.5
1,54,"l1","4",0.583333333333333,0.5
1,54,"svmsig","4",0.75,0.771428571428571
1,54,"svmrad","4",0.583333333333333,0.228571428571429
1,54,"rf","4",0.666666666666667,0.885714285714286
1,54,"l2","5",0.6,0.5
1,54,"l1","5",0.6,0.5
1,54,"svmsig","5",0.6,0.458333333333333
1,54,"svmrad","5",0.5,0.458333333333333
1,54,"rf","5",0.5,0.416666666666667
1,54,"l2","6",0.636363636363636,0.714285714285714
1,54,"l1","6",0.545454545454545,0.214285714285714
1,54,"svmsig","6",0.636363636363636,0.785714285714286
1,54,"svmrad","6",0.636363636363636,0.785714285714286
1,54,"rf","6",0.545454545454545,0.571428571428571
1,54,"l2","7",0.636363636363636,0.428571428571429
1,54,"l1","7",0.636363636363636,0.642857142857143
1,54,"svmsig","7",0.636363636363636,0.392857142857143
1,54,"svmrad","7",0.636363636363636,0.392857142857143
1,54,"rf","7",0.636363636363636,0.464285714285714
1,54,"l2","8",0.636363636363636,0.75
1,54,"l1","8",0.636363636363636,0.5
1,54,"svmsig","8",0.818181818181818,0.785714285714286
1,54,"svmrad","8",0.818181818181818,0.785714285714286
1,54,"rf","8",0.545454545454545,0.553571428571429
1,54,"l2","9",0.545454545454545,0.6
1,54,"l1","9",0.545454545454545,0.5
1,54,"svmsig","9",0.545454545454545,0.533333333333333
1,54,"svmrad","9",0.545454545454545,0.533333333333333
1,54,"rf","9",0.454545454545455,0.566666666666667
1,54,"l2","10",0.6,0.791666666666667
1,54,"l1","10",0.6,0.5
1,54,"svmsig","10",0.8,0.875
1,54,"svmrad","10",0.6,0.875
1,54,"rf","10",0.8,0.791666666666667
1,54,"l2","11",0.583333333333333,0.714285714285714
1,54,"l1","11",0.416666666666667,0.657142857142857
1,54,"svmsig","11",0.75,0.771428571428571
1,54,"svmrad","11",0.75,0.771428571428571
1,54,"rf","11",0.666666666666667,0.557142857142857
1,54,"l2","12",0.6,0.625
1,54,"l1","12",0.7,0.833333333333333
1,54,"svmsig","12",0.5,0.583333333333333
1,54,"svmrad","12",0.5,0.583333333333333
1,54,"rf","12",0.6,0.583333333333333
1,54,"l2","13",0.7,0.708333333333333
1,54,"l1","13",0.7,0.5
1,54,"svmsig","13",0.6,0.791666666666667
1,54,"svmrad","13",0.6,0.791666666666667
1,54,"rf","13",0.8,0.708333333333333
1,54,"l2","14",0.636363636363636,0.714285714285714
1,54,"l1","14",0.636363636363636,0.714285714285714
1,54,"svmsig","14",0.545454545454545,0.607142857142857
1,54,"svmrad","14",0.545454545454545,0.607142857142857
1,54,"rf","14",0.636363636363636,0.607142857142857
1,54,"l2","15",0.727272727272727,0.678571428571429
1,54,"l1","15",0.727272727272727,0.678571428571429
1,54,"svmsig","15",0.727272727272727,0.571428571428571
1,54,"svmrad","15",0.727272727272727,0.571428571428571
1,54,"rf","15",0.727272727272727,0.821428571428571
1,54,"l2","16",0.636363636363636,0.5
1,54,"l1","16",0.636363636363636,0.285714285714286
1,54,"svmsig","16",0.636363636363636,0.607142857142857
1,54,"svmrad","16",0.545454545454545,0.607142857142857
1,54,"rf","16",0.818181818181818,0.785714285714286
1,54,"l2","17",0.6,0.5
1,54,"l1","17",0.6,0.5
1,54,"svmsig","17",0.6,0.416666666666667
1,54,"svmrad","17",0.6,0.416666666666667
1,54,"rf","17",0.6,0.479166666666667
1,54,"l2","18",0.6,0.5
1,54,"l1","18",0.6,0.5
1,54,"svmsig","18",0.8,0.916666666666667
1,54,"svmrad","18",0.6,0.916666666666667
1,54,"rf","18",0.8,0.833333333333333
1,54,"l2","19",0.636363636363636,0.642857142857143
1,54,"l1","19",0.636363636363636,0.714285714285714
1,54,"svmsig","19",0.636363636363636,0.75
1,54,"svmrad","19",0.636363636363636,0.75
1,54,"rf","19",0.727272727272727,0.678571428571429
1,54,"l2","20",0.583333333333333,0.6
1,54,"l1","20",0.75,0.8
1,54,"svmsig","20",0.5,0.628571428571429
1,54,"svmrad","20",0.5,0.628571428571429
1,54,"rf","20",0.666666666666667,0.8
1,54,"l2","21",0.636363636363636,0.714285714285714
1,54,"l1","21",0.636363636363636,0.75
1,54,"svmsig","21",0.727272727272727,0.678571428571429
1,54,"svmrad","21",0.818181818181818,0.678571428571429
1,54,"rf","21",0.727272727272727,0.75
1,54,"l2","22",0.454545454545455,0.607142857142857
1,54,"l1","22",0.727272727272727,0.607142857142857
1,54,"svmsig","22",0.545454545454545,0.642857142857143
1,54,"svmrad","22",0.545454545454545,0.642857142857143
1,54,"rf","22",0.545454545454545,0.785714285714286
1,54,"l2","23",0.636363636363636,0.928571428571428
1,54,"l1","23",0.636363636363636,0.785714285714286
1,54,"svmsig","23",0.818181818181818,0.892857142857143
1,54,"svmrad","23",0.727272727272727,0.892857142857143
1,54,"rf","23",0.727272727272727,0.785714285714286
1,54,"l2","24",0.6,0.833333333333333
1,54,"l1","24",0.6,0.708333333333333
1,54,"svmsig","24",0.7,0.75
1,54,"svmrad","24",0.6,0.75
1,54,"rf","24",0.7,0.75
1,54,"l2","25",0.545454545454545,0.633333333333333
1,54,"l1","25",0.545454545454545,0.5
1,54,"svmsig","25",0.545454545454545,0.633333333333333
1,54,"svmrad","25",0.636363636363636,0.633333333333333
1,54,"rf","25",0.545454545454545,0.533333333333333
1,54,"l2","26",0.6,0.5
1,54,"l1","26",0.6,0.583333333333333
1,54,"svmsig","26",0.6,0.625
1,54,"svmrad","26",0.6,0.375
1,54,"rf","26",0.8,0.583333333333333
1,54,"l2","27",0.636363636363636,0.464285714285714
1,54,"l1","27",0.636363636363636,0.5
1,54,"svmsig","27",0.545454545454545,0.392857142857143
1,54,"svmrad","27",0.545454545454545,0.392857142857143
1,54,"rf","27",0.727272727272727,0.464285714285714
1,54,"l2","28",0.583333333333333,0.542857142857143
1,54,"l1","28",0.666666666666667,0.457142857142857
1,54,"svmsig","28",0.583333333333333,0.457142857142857
1,54,"svmrad","28",0.583333333333333,0.457142857142857
1,54,"rf","28",0.666666666666667,0.614285714285714
1,54,"l2","29",0.636363636363636,0.5
1,54,"l1","29",0.636363636363636,0.571428571428571
1,54,"svmsig","29",0.636363636363636,0.857142857142857
1,54,"svmrad","29",0.727272727272727,0.857142857142857
1,54,"rf","29",0.727272727272727,0.732142857142857
1,54,"l2","30",0.6,0.833333333333333
1,54,"l1","30",0.6,0.6875
1,54,"svmsig","30",0.7,0.875
1,54,"svmrad","30",0.7,0.875
1,54,"rf","30",0.7,0.958333333333333
1,54,"l2","31",0.6,0.583333333333333
1,54,"l1","31",0.6,0.5
1,54,"svmsig","31",0.5,0.583333333333333
1,54,"svmrad","31",0.5,0.583333333333333
1,54,"rf","31",0.7,0.708333333333333
1,54,"l2","32",0.636363636363636,0.571428571428572
1,54,"l1","32",0.636363636363636,0.25
1,54,"svmsig","32",0.545454545454545,0.285714285714286
1,54,"svmrad","32",0.545454545454545,0.285714285714286
1,54,"rf","32",0.636363636363636,0.5
1,54,"l2","33",0.636363636363636,0.928571428571428
1,54,"l1","33",0.636363636363636,0.607142857142857
1,54,"svmsig","33",0.545454545454545,0.785714285714286
1,54,"svmrad","33",0.818181818181818,0.785714285714286
1,54,"rf","33",0.636363636363636,0.857142857142857
1,54,"l2","34",0.6,0.791666666666667
1,54,"l1","34",0.6,0.5
1,54,"svmsig","34",0.7,0.875
1,54,"svmrad","34",0.7,0.875
1,54,"rf","34",0.8,0.770833333333333
1,54,"l2","35",0.583333333333333,0.571428571428571
1,54,"l1","35",0.583333333333333,0.771428571428571
1,54,"svmsig","35",0.583333333333333,0.628571428571429
1,54,"svmrad","35",0.583333333333333,0.628571428571429
1,54,"rf","35",0.666666666666667,0.657142857142857
1,54,"l2","36",0.5,0.625
1,54,"l1","36",0.8,0.666666666666667
1,54,"svmsig","36",0.6,0.666666666666667
1,54,"svmrad","36",0.5,0.666666666666667
1,54,"rf","36",0.7,0.75
1,54,"l2","37",0.6,0.833333333333333
1,54,"l1","37",0.8,0.75
1,54,"svmsig","37",0.7,0.791666666666667
1,54,"svmrad","37",0.8,0.791666666666667
1,54,"rf","37",0.8,0.833333333333333
1,54,"l2","38",0.636363636363636,0.535714285714286
1,54,"l1","38",0.636363636363636,0.5
1,54,"svmsig","38",0.636363636363636,0.428571428571429
1,54,"svmrad","38",0.636363636363636,0.428571428571429
1,54,"rf","38",0.454545454545455,0.464285714285714
1,54,"l2","39",0.636363636363636,0.571428571428571
1,54,"l1","39",0.545454545454545,0.428571428571429
1,54,"svmsig","39",0.727272727272727,0.571428571428571
1,54,"svmrad","39",0.727272727272727,0.571428571428571
1,54,"rf","39",0.727272727272727,0.75
1,54,"l2","40",0.583333333333333,0.657142857142857
1,54,"l1","40",0.5,0.571428571428571
1,54,"svmsig","40",0.666666666666667,0.742857142857143
1,54,"svmrad","40",0.666666666666667,0.742857142857143
1,54,"rf","40",0.583333333333333,0.771428571428571
1,54,"l2","41",0.636363636363636,0.5
1,54,"l1","41",0.636363636363636,0.5
1,54,"svmsig","41",0.636363636363636,0.535714285714286
1,54,"svmrad","41",0.636363636363636,0.535714285714286
1,54,"rf","41",0.636363636363636,0.785714285714286
1,54,"l2","42",0.583333333333333,0.571428571428571
1,54,"l1","42",0.583333333333333,0.571428571428571
1,54,"svmsig","42",0.666666666666667,0.457142857142857
1,54,"svmrad","42",0.666666666666667,0.457142857142857
1,54,"rf","42",0.666666666666667,0.628571428571429
1,54,"l2","43",0.636363636363636,0.535714285714286
1,54,"l1","43",0.636363636363636,0.5
1,54,"svmsig","43",0.454545454545455,0.5
1,54,"svmrad","43",0.545454545454545,0.5
1,54,"rf","43",0.545454545454545,0.5
1,54,"l2","44",0.6,0.5
1,54,"l1","44",0.6,0.5
1,54,"svmsig","44",0.6,0.875
1,54,"svmrad","44",0.6,0.875
1,54,"rf","44",0.8,0.833333333333333
1,54,"l2","45",0.6,0.416666666666667
1,54,"l1","45",0.6,0.75
1,54,"svmsig","45",0.5,0.5
1,54,"svmrad","45",0.5,0.5
1,54,"rf","45",0.5,0.458333333333333
1,54,"l2","46",0.636363636363636,0.75
1,54,"l1","46",0.636363636363636,0.714285714285714
1,54,"svmsig","46",0.636363636363636,0.75
1,54,"svmrad","46",0.636363636363636,0.75
1,54,"rf","46",0.636363636363636,0.714285714285714
1,54,"l2","47",0.545454545454545,0.607142857142857
1,54,"l1","47",0.636363636363636,0.678571428571429
1,54,"svmsig","47",0.454545454545455,0.678571428571429
1,54,"svmrad","47",0.454545454545455,0.678571428571429
1,54,"rf","47",0.545454545454545,0.535714285714286
1,54,"l2","48",0.636363636363636,0.5
1,54,"l1","48",0.636363636363636,0.5
1,54,"svmsig","48",0.727272727272727,0.571428571428571
1,54,"svmrad","48",0.727272727272727,0.571428571428571
1,54,"rf","48",0.636363636363636,0.625
1,54,"l2","49",0.6,0.5
1,54,"l1","49",0.8,0.875
1,54,"svmsig","49",0.6,0.833333333333333
1,54,"svmrad","49",0.5,0.833333333333333
1,54,"rf","49",0.7,0.75
1,54,"l2","50",0.545454545454545,0.833333333333333
1,54,"l1","50",0.545454545454545,0.5
1,54,"svmsig","50",0.727272727272727,0.866666666666667
1,54,"svmrad","50",0.727272727272727,0.866666666666667
1,54,"rf","50",0.818181818181818,0.966666666666667
2,49,"l2","1",0.7,0.791666666666667
2,49,"l1","1",0.7,0.583333333333333
2,49,"svmsig","1",0.6,0.833333333333333
2,49,"svmrad","1",0.7,0.833333333333333
2,49,"rf","1",0.7,0.708333333333333
2,49,"l2","2",0.6,0.5
2,49,"l1","2",0.6,0.416666666666667
2,49,"svmsig","2",0.6,0.708333333333333
2,49,"svmrad","2",0.6,0.708333333333333
2,49,"rf","2",0.7,0.729166666666667
2,49,"l2","3",0.6,0.791666666666667
2,49,"l1","3",0.6,0.5
2,49,"svmsig","3",0.8,0.791666666666667
2,49,"svmrad","3",0.7,0.791666666666667
2,49,"rf","3",0.8,0.958333333333333
2,49,"l2","4",0.7,0.583333333333333
2,49,"l1","4",0.6,0.5
2,49,"svmsig","4",0.7,0.625
2,49,"svmrad","4",0.6,0.625
2,49,"rf","4",0.7,0.645833333333333
2,49,"l2","5",0.666666666666667,0.833333333333333
2,49,"l1","5",0.777777777777778,0.777777777777778
2,49,"svmsig","5",0.888888888888889,0.833333333333333
2,49,"svmrad","5",0.888888888888889,0.833333333333333
2,49,"rf","5",0.777777777777778,0.888888888888889
2,49,"l2","6",0.666666666666667,0.611111111111111
2,49,"l1","6",0.555555555555556,0.722222222222222
2,49,"svmsig","6",0.666666666666667,0.555555555555555
2,49,"svmrad","6",0.555555555555556,0.555555555555555
2,49,"rf","6",0.666666666666667,0.638888888888889
2,49,"l2","7",0.6,0.5
2,49,"l1","7",0.8,0.75
2,49,"svmsig","7",0.9,1
2,49,"svmrad","7",0.7,1
2,49,"rf","7",0.7,0.875
2,49,"l2","8",0.7,0.666666666666667
2,49,"l1","8",0.7,0.791666666666667
2,49,"svmsig","8",0.7,0.625
2,49,"svmrad","8",0.7,0.625
2,49,"rf","8",0.7,0.541666666666667
2,49,"l2","9",0.5,0.416666666666667
2,49,"l1","9",0.6,0.583333333333333
2,49,"svmsig","9",0.5,0.416666666666667
2,49,"svmrad","9",0.5,0.416666666666667
2,49,"rf","9",0.5,0.5
2,49,"l2","10",0.6,0.875
2,49,"l1","10",0.7,0.916666666666667
2,49,"svmsig","10",0.7,0.833333333333333
2,49,"svmrad","10",0.8,0.833333333333333
2,49,"rf","10",0.6,0.75
2,49,"l2","11",0.6,0.5
2,49,"l1","11",0.8,0.833333333333333
2,49,"svmsig","11",0.7,0.916666666666667
2,49,"svmrad","11",0.8,0.916666666666667
2,49,"rf","11",0.7,0.708333333333333
2,49,"l2","12",0.6,0.916666666666667
2,49,"l1","12",0.8,0.833333333333333
2,49,"svmsig","12",0.7,0.875
2,49,"svmrad","12",0.8,0.875
2,49,"rf","12",0.9,1
2,49,"l2","13",0.6,0.708333333333333
2,49,"l1","13",0.7,0.791666666666667
2,49,"svmsig","13",0.7,0.791666666666667
2,49,"svmrad","13",0.7,0.791666666666667
2,49,"rf","13",0.6,0.75
2,49,"l2","14",0.6,0.875
2,49,"l1","14",0.6,0.5
2,49,"svmsig","14",0.8,0.916666666666667
2,49,"svmrad","14",0.7,0.916666666666667
2,49,"rf","14",0.6,0.791666666666667
2,49,"l2","15",0.666666666666667,0.611111111111111
2,49,"l1","15",0.777777777777778,0.722222222222222
2,49,"svmsig","15",0.777777777777778,0.666666666666667
2,49,"svmrad","15",0.777777777777778,0.666666666666667
2,49,"rf","15",0.666666666666667,0.5
2,49,"l2","16",0.7,0.75
2,49,"l1","16",0.6,0.916666666666667
2,49,"svmsig","16",0.7,0.75
2,49,"svmrad","16",0.7,0.75
2,49,"rf","16",0.7,0.625
2,49,"l2","17",0.5,0.708333333333333
2,49,"l1","17",0.7,0.791666666666667
2,49,"svmsig","17",0.6,0.625
2,49,"svmrad","17",0.6,0.625
2,49,"rf","17",0.6,0.833333333333333
2,49,"l2","18",0.6,0.625
2,49,"l1","18",0.6,0.5
2,49,"svmsig","18",0.6,0.708333333333333
2,49,"svmrad","18",0.6,0.708333333333333
2,49,"rf","18",0.7,0.75
2,49,"l2","19",0.666666666666667,0.833333333333333
2,49,"l1","19",0.666666666666667,0.361111111111111
2,49,"svmsig","19",0.777777777777778,0.944444444444445
2,49,"svmrad","19",0.888888888888889,0.944444444444445
2,49,"rf","19",0.777777777777778,0.555555555555555
2,49,"l2","20",0.6,0.791666666666667
2,49,"l1","20",0.6,0.5
2,49,"svmsig","20",0.8,0.708333333333333
2,49,"svmrad","20",0.8,0.708333333333333
2,49,"rf","20",0.7,0.958333333333333
2,49,"l2","21",0.6,0.75
2,49,"l1","21",0.6,0.583333333333333
2,49,"svmsig","21",0.7,0.75
2,49,"svmrad","21",0.7,0.75
2,49,"rf","21",0.8,0.75
2,49,"l2","22",0.7,0.583333333333333
2,49,"l1","22",0.6,0.583333333333333
2,49,"svmsig","22",0.7,0.541666666666667
2,49,"svmrad","22",0.8,0.541666666666667
2,49,"rf","22",0.8,0.645833333333333
2,49,"l2","23",0.555555555555556,0.444444444444444
2,49,"l1","23",0.555555555555556,0.388888888888889
2,49,"svmsig","23",0.333333333333333,0.444444444444444
2,49,"svmrad","23",0.444444444444444,0.444444444444444
2,49,"rf","23",0.555555555555556,0.5
2,49,"l2","24",0.6,0.708333333333333
2,49,"l1","24",0.8,0.708333333333333
2,49,"svmsig","24",0.6,0.708333333333333
2,49,"svmrad","24",0.6,0.708333333333333
2,49,"rf","24",0.7,0.854166666666667
2,49,"l2","25",0.6,0.833333333333333
2,49,"l1","25",0.6,0.458333333333333
2,49,"svmsig","25",0.7,0.791666666666667
2,49,"svmrad","25",0.7,0.791666666666667
2,49,"rf","25",0.6,0.708333333333333
2,49,"l2","26",0.6,0.75
2,49,"l1","26",0.7,0.916666666666667
2,49,"svmsig","26",0.7,0.708333333333333
2,49,"svmrad","26",0.7,0.708333333333333
2,49,"rf","26",0.8,0.791666666666667
2,49,"l2","27",0.666666666666667,0.5
2,49,"l1","27",0.666666666666667,0.5
2,49,"svmsig","27",0.777777777777778,0.777777777777778
2,49,"svmrad","27",0.777777777777778,0.777777777777778
2,49,"rf","27",0.777777777777778,0.888888888888889
2,49,"l2","28",0.6,0.666666666666667
2,49,"l1","28",0.7,0.916666666666667
2,49,"svmsig","28",0.6,0.708333333333333
2,49,"svmrad","28",0.6,0.708333333333333
2,49,"rf","28",0.7,0.708333333333333
2,49,"l2","29",0.6,0.75
2,49,"l1","29",0.7,0.541666666666667
2,49,"svmsig","29",0.6,0.833333333333333
2,49,"svmrad","29",0.8,0.833333333333333
2,49,"rf","29",0.5,0.75
2,49,"l2","30",0.7,0.833333333333333
2,49,"l1","30",0.7,0.833333333333333
2,49,"svmsig","30",0.8,0.875
2,49,"svmrad","30",0.8,0.875
2,49,"rf","30",0.8,0.8125
2,49,"l2","31",0.666666666666667,0.611111111111111
2,49,"l1","31",0.444444444444444,0.222222222222222
2,49,"svmsig","31",0.666666666666667,0.611111111111111
2,49,"svmrad","31",0.666666666666667,0.611111111111111
2,49,"rf","31",0.666666666666667,0.666666666666667
2,49,"l2","32",0.6,0.458333333333333
2,49,"l1","32",0.6,0.5
2,49,"svmsig","32",0.5,0.5
2,49,"svmrad","32",0.5,0.5
2,49,"rf","32",0.5,0.416666666666667
2,49,"l2","33",0.6,0.666666666666667
2,49,"l1","33",0.8,0.75
2,49,"svmsig","33",0.6,0.541666666666667
2,49,"svmrad","33",0.6,0.541666666666667
2,49,"rf","33",0.6,0.916666666666667
2,49,"l2","34",0.6,0.375
2,49,"l1","34",0.5,0.375
2,49,"svmsig","34",0.6,0.375
2,49,"svmrad","34",0.6,0.375
2,49,"rf","34",0.6,0.416666666666667
2,49,"l2","35",0.6,0.708333333333333
2,49,"l1","35",0.6,0.5
2,49,"svmsig","35",0.6,0.75
2,49,"svmrad","35",0.8,0.75
2,49,"rf","35",0.7,0.833333333333333
2,49,"l2","36",0.666666666666667,0.555555555555556
2,49,"l1","36",0.777777777777778,0.5
2,49,"svmsig","36",0.555555555555556,0.555555555555556
2,49,"svmrad","36",0.555555555555556,0.555555555555556
2,49,"rf","36",0.777777777777778,0.722222222222222
2,49,"l2","37",0.6,0.791666666666667
2,49,"l1","37",0.9,0.75
2,49,"svmsig","37",0.7,0.708333333333333
2,49,"svmrad","37",0.8,0.708333333333333
2,49,"rf","37",0.6,0.666666666666667
2,49,"l2","38",0.7,0.791666666666667
2,49,"l1","38",0.6,0.875
2,49,"svmsig","38",0.6,0.791666666666667
2,49,"svmrad","38",0.6,0.791666666666667
2,49,"rf","38",0.7,0.583333333333333
2,49,"l2","39",0.6,0.666666666666667
2,49,"l1","39",0.6,0.4375
2,49,"svmsig","39",0.6,0.708333333333333
2,49,"svmrad","39",0.5,0.708333333333333
2,49,"rf","39",0.6,0.541666666666667
2,49,"l2","40",0.6,0.583333333333333
2,49,"l1","40",0.6,0.5
2,49,"svmsig","40",0.8,0.625
2,49,"svmrad","40",0.7,0.625
2,49,"rf","40",0.7,0.645833333333333
2,49,"l2","41",0.8,0.75
2,49,"l1","41",0.8,0.791666666666667
2,49,"svmsig","41",0.8,0.791666666666667
2,49,"svmrad","41",0.6,0.791666666666667
2,49,"rf","41",0.6,0.833333333333333
2,49,"l2","42",0.666666666666667,0.666666666666667
2,49,"l1","42",0.777777777777778,0.833333333333333
2,49,"svmsig","42",0.666666666666667,0.555555555555555
2,49,"svmrad","42",0.666666666666667,0.555555555555555
2,49,"rf","42",0.666666666666667,0.638888888888889
2,49,"l2","43",0.6,0.75
2,49,"l1","43",0.6,0.5
2,49,"svmsig","43",0.6,0.75
2,49,"svmrad","43",0.6,0.75
2,49,"rf","43",0.6,0.708333333333333
2,49,"l2","44",0.7,0.875
2,49,"l1","44",0.5,0.708333333333333
2,49,"svmsig","44",0.7,0.833333333333333
2,49,"svmrad","44",0.7,0.833333333333333
2,49,"rf","44",0.7,0.895833333333333
2,49,"l2","45",0.6,1
2,49,"l1","45",0.8,0.833333333333333
2,49,"svmsig","45",0.6,0.916666666666667
2,49,"svmrad","45",0.8,0.916666666666667
2,49,"rf","45",0.7,1
2,49,"l2","46",0.6,0.833333333333333
2,49,"l1","46",0.8,0.916666666666667
2,49,"svmsig","46",0.8,0.791666666666667
